Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
47	['ADP', 'NOUN', 'VERB', 'DET', 'DET', 'ADJ', 'NOUN']	[0, 0, 0, 0, 0, 0, 0]	48	47	1	por favor toca a minha melhor música
qual	PRON	0	49	0	0	qual é o autor desta música
é	AUX	0	49	1	0	qual é o autor desta música
o	DET	0	49	2	0	qual é o autor desta música
autor	NOUN	0	49	3	0	qual é o autor desta música
desta	ADP	0	49	4	0	qual é o autor desta música
música	NOUN	0	49	5	0	qual é o autor desta música
48	['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN']	[0, 0, 0, 0, 0, 0]	49	48	1	qual é o autor desta música
de	SCONJ	0	50	0	0	de que álbum é a música atual
que	SCONJ	0	50	1	0	de que álbum é a música atual
álbum	NOUN	0	50	2	0	de que álbum é a música atual
é	AUX	0	50	3	0	de que álbum é a música atual
a	DET	0	50	4	0	de que álbum é a música atual
música	NOUN	0	50	5	0	de que álbum é a música atual
atual	ADJ	0	50	6	0	de que álbum é a música atual
49	['SCONJ', 'SCONJ', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADJ']	[0, 0, 0, 0, 0, 0, 0]	50	49	1	de que álbum é a música atual
